Title,Year,Journal,Authors,Link,Key_word1,Key_word2,Key_word3,Key_word4,Key_word5,Study_Type,Tags
The Effect of Virtual Reality Distraction on Pain Relief During Dressing Changes in  Children with Chronic Wounds on Lower Limbs.,2015,Pain management nursing : official journal of the American Society of Pain  Management Nurses,"Hua, Yun; Qiu, Rong; Yao, Wen-Yan; Zhang, Qin; Chen, Xiao-Li",https://doi.org/10.1016/j.pmn.2015.03.001,Pain,Pediatric,Anxiety/ Stress,Patient Study,,Experiment,Pain Pediatric Anxiety/ Stress Patient Study 
Effects of immersive virtual reality therapy on intravenous patient-controlled  sedation during orthopaedic surgery under regional anesthesia: A randomized  controlled trial.,2020,PloS one,"Huang, Mark Y.; Scharf, Simon; Chan, Peter Y.",https://doi.org/10.1371/journal.pone.0229320,Pain,Patient Study,,,,Randomised Controlled Trial,Pain Patient Study   
Virtual Reality as a Distraction Intervention to Relieve Pain and Distress During Medical Procedures,2018,The Clinical Journal of Pain,"Indovina, Paola; Barone, Daniela; Gallo, Luigi; Chirico, Andrea; De Pietro, Giuseppe; Giordano, Antonio",https://doi.org/10.1097/AJP.0000000000000599,Pain,Cancer,,,,Review,Pain Cancer   
"Virtual Reality and Symptoms Management of Anxiety, Depression, Fatigue, and Pain: A Systematic  Review",2020,SAGE Open Nursing,"Ioannou, Androniki; Papastavrou, Evridiki; Avraamides, Marios N.; Charalambous, Andreas",https://doi.org/10.1177/2377960820936163,Anxiety/ Stress,Pain,Sleep,,,Review,Anxiety/ Stress Pain Sleep  
The Effect of Virtual Reality on Pain in Primiparity Women during Episiotomy Repair: A Randomize Clinical Trial,2015,Iranian Journal of Medical Sciences,"JahaniShoorab, Nahid; Ebrahimzadeh Zagami, Samira; Nahvi, Ali; Mazluom, Seyed Reza; Golmakani, Nahid; Talebi, Mahdi; Pabarja, Ferial",https://doi.org/pubmed.ncbi.nlm.nih.gov/25999621/,Maternity,Pain,,,,Randomised Clinical Trial,Maternity Pain   
Effect of virtual reality on adolescent pain during burn wound care.,2014,Journal of burn care & research : official publication of the American Burn  Association,"Jeffs, Debra; Dorman, Dona; Brown, Susan; Files, Amber; Graves, Tamara; Kirk, Elizabeth; Meredith-Neve, Sandra; Sanders, Janise; White, Benjamin; Swearingen, Christopher J.",https://doi.org/10.1097/BCR.0000000000000019,Pediatric,Burn Injuries,Pain,Patient Study,,Randomised Controlled Trial,Pediatric Burn Injuries Pain Patient Study 
"A Virtual Reality Game for Chronic Pain Management: A Randomized, Controlled  Clinical Study.",2016,Studies in health technology and informatics,"Jin, Weina; Choo, Amber; Gromala, Diane; Shaw, Chris; Squire, Pamela",https://pubmed.ncbi.nlm.nih.gov/27046570/,Pain,Patient Study,,,,Randomised Controlled Trial,Pain Patient Study   
Physiological Benefits of Viewing Nature: A Systematic Review of Indoor Experiments,2019,International Journal of Environmental Research and Public Health,"Jo, Hyunju; Song, Chorong; Miyazaki, Yoshifumi",https://doi.org/10.3390/ijerph16234739,Anxiety/ Stress,Methods Development,,,,Systematic Review,Anxiety/ Stress Methods Development   
The Impact of Virtual Reality on Chronic Pain,2016,PloS One,"Jones, Ted; Moore, Todd; Choo, James",https://doi.org/10.1371/journal.pone.0167523,Pain,Patient Study,,,,Experiment,Pain Patient Study   
Investigation of the effect of the virtual reality application on experimental pain  severity in healthy.,2019,Revista da Associacao Medica Brasileira (1992),"Karaman, Dilek; Erol, Funda; Yılmaz, Dilek; Dikmen, Yurdanur",https://doi.org/10.1590/1806-9282.65.3.446,Pain,,,,,Experiment,Pain    
Virtual reality for acute pain reduction in adolescents undergoing burn wound care:  a prospective randomized controlled trial.,2012,Burns : journal of the International Society for Burn Injuries,"Kipping, Belinda; Rodger, Sylvia; Miller, Kate; Kimble, Roy M.",https://doi.org/10.1016/j.burns.2011.11.010,Pediatric,Pain,Burn Injuries,,,Randomised Controlled Trial,Pediatric Pain Burn Injuries  
Predicting the effectiveness of virtual reality relaxation on pain and anxiety when  added to PCA morphine in patients having burns dressings changes.,2009,Burns : journal of the International Society for Burn Injuries,"Konstantatos, A. H.; Angliss, M.; Costello, V.; Cleland, H.; Stafrace, S.",https://doi.org/10.1016/j.burns.2008.08.017,Pain,Anxiety/ Stress,Burn Injuries,,,Randomised Clinical Trial,Pain Anxiety/ Stress Burn Injuries  
"Enhanced Reality Showing Long-Lasting Analgesia after Total Knee Arthroplasty:  Prospective, Randomized Clinical Trial.",2018,Scientific reports,"Koo, Kyo-In; Park, Dae Kwon; Youm, Yoon Seok; Cho, Sung Do; Hwang, Chang Ho",https://doi.org/10.1038/s41598-018-20260-0,Pain,Patient Study,,,,Experiment,Pain Patient Study   
A Virtual Resiliency Intervention for Parents of Children with Autism: A Randomized  Pilot Trial.,2020,Journal of autism and developmental disorders,"Kuhlthau, Karen A.; Luberto, Christina M.; Traeger, Lara; Millstein, Rachel A.; Perez, Giselle K.; Lindly, Olivia J.; Chad-Friedman, Emma; Proszynski, Jacqueline; Park, Elyse R.",https://doi.org/10.1007/s10803-019-03976-4,Autism Spectrum Disorder,Anxiety/ Stress,,,,Experiment (proof-of-concept),Autism Spectrum Disorder Anxiety/ Stress   
Effect of virtual reality meditation on sleep quality of intensive care unit patients: A randomised controlled trial,2020,Intensive and Critical Care Nursing,"Lee, Soon Young; Kang, Jiyeon",https://doi.org/10.1016/j.iccn.2020.102849,Sleep,Patient Study,,,,Randomised Controlled Trial,Sleep Patient Study   
Virtual reality and pain management: current trends and future directions,2011,Pain Management,"Li, Angela; Montaño, Zorash; Chen, Vincent J.; Gold, Jeffrey I.",https://doi.org/10.2217/pmt.10.15,Pain,,,,,Review,Pain    
Differential effects of two virtual reality interventions: distraction versus pain  control.,2014,"Cyberpsychology, behavior and social networking","Loreto-Quijada, Desirée; Gutiérrez-Maldonado, José; Nieto, Rubén; Gutiérrez-Martínez, Olga; Ferrer-García, Marta; Saldaña, Carmina; Fusté-Escolano, Adela; Liutsko, Liudmila",https://doi.org/10.1089/cyber.2014.0057,Pain,,,,,Experiment,Pain    
Weighting and reweighting of visual input via head mounted display given unilateral peripheral vestibular dysfunction,2019,Human Movement Science,"Lubetzky, Anat V.; Harel, Daphna; Kelly, Jennifer; Hujsak, Bryan D.; Perlin, Ken",https://doi.org/10.1016/j.humov.2019.102526,Vestibular,Methods Development,Patient Study,,,Experiment,Vestibular Methods Development Patient Study  
"Feasibility and Potential Benefits of Immersive 		 Virtual Reality in the 			 Intensive Care Unit",2020,ICU Management & Practice,"Lynch, C., Jones, G.",https://healthmanagement.org/uploads/article_attachment/icu1-v20-feasibilityandpotentialbenefits.pdf,Patient Study,,Anxiety/ Stress,Pain,,Experiment,Patient Study  Anxiety/ Stress Pain 
Virtual reality pain control during burn wound debridement of combat-related burn  injuries using robot-like arm mounted VR goggles.,2011,The Journal of trauma,"Maani, Christopher V.; Hoffman, Hunter G.; Morrow, Michelle; Maiers, Alan; Gaylord, Kathryn; McGhee, Laura L.; DeSocio, Peter A.",https://doi.org/10.1097/TA.0b013e31822192e2,Pain,Burn Injuries,Patient Study,,,Experiment (proof-of-concept),Pain Burn Injuries Patient Study  
Changing Stress Mindset Through Stressjam: A Virtual Reality Game Using Biofeedback,2019,Games for Health Journal,"Maarsingh, Bernard M.; Bos, Jannah; Van Tuijn, Charlotte F. J.; Renard, Selwyn B.",https://doi.org/10.1089/g4h.2018.0145,Anxiety/ Stress,Biofeedback,Patient Study,,,Experiment,Anxiety/ Stress Biofeedback Patient Study  
Virtual reality immersion method of distraction to control experimental ischemic  pain.,2006,The Israel Medical Association journal : IMAJ,"Magora, Florella; Cohen, Sarale; Shochina, Mara; Dayan, Ehud",https://pubmed.ncbi.nlm.nih.gov/16671363/,Pain,Methods Development,,,,Experiment,Pain Methods Development   
Virtual reality distraction induces hypoalgesia in patients with chronic low back pain: a randomized controlled trial,2020,Journal of Neuroengineering and Rehabilitation,"Matheve, Thomas; Bogaerts, Katleen; Timmermans, Annick",https://doi.org/10.1186/s12984-020-00688-0,Pain,Patient Study,,,,Randomised Controlled Trial,Pain Patient Study   
"Randomized, Crossover Study of Immersive Virtual Reality to Decrease Opioid Use During Painful Wound Care Procedures in Adults",2018,Journal of Burn Care & Research,"McSherry, Theresa; Atterbury, Michelle; Gartner, Sarah; Helmold, Emily; Searles, Denise Mazzacano; Schulman, Christine",https://doi.org/10.1097/BCR.0000000000000589,Pain,Opioid Management,Burn Injuries,,,Randomised Controlled Trial,Pain Opioid Management Burn Injuries  
Vestibular rehabilitation in older adults with and without mild cognitive impairment: Effects of virtual reality using a head-mounted display,2019,Archives of Gerontology and Geriatrics,"Micarelli, Alessandro; Viziano, Andrea; Micarelli, Beatrice; Augimeri, Ivan; Alessandrini, Marco",https://doi.org/10.1016/j.archger.2019.05.008,Vestibular,Ageing,Patient Study,,,Experiment,Vestibular Ageing Patient Study  
Multi-modal distraction. Using technology to combat pain in young children with burn  injuries.,2010,Burns : journal of the International Society for Burn Injuries,"Miller, Kate; Rodger, Sylvia; Bucolo, Sam; Greer, Ristan; Kimble, Roy M.",https://doi.org/10.1016/j.burns.2009.06.199,Pediatric,Pain,Burn Injuries,Patient Study,,Randomised Controlled Trial,Pediatric Pain Burn Injuries Patient Study 
Feasibility and potential effect of a low-cost virtual reality system on reducing  pain and anxiety in adult burn injury patients during physiotherapy in a developing  country.,2010,Burns : journal of the International Society for Burn Injuries,"Morris, Linzette Deidré; Louw, Quinette Abegail; Crous, Lynette Christine",https://doi.org/10.1016/j.burns.2009.09.005,Pain,Anxiety/ Stress,Physical Therapy,Burn Injuries,Patient Study,Experiment (proof-of-concept),Pain Anxiety/ Stress Physical Therapy Burn Injuries Patient Study
Pain Distraction During Ambulatory Surgery: Virtual Reality and Mobile Devices.,2019,"Cyberpsychology, behavior and social networking","Mosso Vázquez, José Luis; Mosso Lara, Dejanira; Mosso Lara, José Luis; Miller, Ian; Wiederhold, Mark D.; Wiederhold, Brenda K.",https://doi.org/10.1089/cyber.2017.0714,Pain,Patient Study,,,,Experiment,Pain Patient Study   
Virtual reality on mobile phones to reduce anxiety in outpatient surgery.,2009,Studies in health technology and informatics,"Mosso, José L.; Gorini, Alessandra; De La Cerda, Gustavo; Obrador, Tomas; Almazan, Andrew; Mosso, Dejanira; Nieto, Jesus J.; Riva, Giuseppe",https://pubmed.ncbi.nlm.nih.gov/19377147/,Anxiety/ Stress,Patient Study,,,,Experiment,Anxiety/ Stress Patient Study   
The efficacy of an augmented virtual reality system to alleviate pain in children  undergoing burns dressing changes: a randomised controlled trial.,2008,Burns : journal of the International Society for Burn Injuries,"Mott, Jonathan; Bucolo, Sam; Cuttle, Leila; Mill, Julie; Hilder, Melanie; Miller, Kate; Kimble, Roy M.",https://doi.org/10.1016/j.burns.2007.10.010,Pediatric,Pain,Burn Injuries,,,Randomised Controlled Trial,Pediatric Pain Burn Injuries  
Rehabilitation of children with hemiparesis: a pilot study on the use of virtual  reality.,2013,BioMed research international,"Olivieri, Ivana; Chiappedi, Matteo; Meriggi, Paolo; Mazzola, Marcella; Grandi, Attilia; Angelini, Lucia",https://doi.org/10.1155/2013/695935,Pediatric,Physical Therapy,,,,Experiment (proof-of-concept),Pediatric Physical Therapy   
"Effects of virtual reality on pain, fear and anxiety during blood draw in children  aged 5-12 years old: A randomised controlled study.",2020,Journal of clinical nursing,"Özalp Gerçeker, Gülçin; Ayar, Dijle; Özdemir, Emine Zahide; Bektaş, Murat",https://doi.org/10.1111/jocn.15173,Pediatric,Pain,Anxiety/ Stress,,,Randomised Controlled Trial,Pediatric Pain Anxiety/ Stress  
The Effect of Mirroring Display of Virtual Reality Tour of the Operating Theatre on  Preoperative Anxiety: A Randomized Controlled Trial.,2019,IEEE journal of biomedical and health informatics,"Park, Jin-Woo; Nahm, Francis Sahngun; Kim, Jin-Hee; Jeon, Young-Tae; Ryu, Jung-Hee; Han, Sung-Hee",https://doi.org/10.1109/JBHI.2019.2892485,Anxiety/ Stress,Pediatric,Patient Study,,,Experiment,Anxiety/ Stress Pediatric Patient Study  
Virtual reality hypnosis for pain associated with recovery from physical trauma.,2010,The International journal of clinical and experimental hypnosis,"Patterson, David R.; Jensen, Mark P.; Wiechman, Shelley A.; Sharar, Sam R.",https://doi.org/10.1080/00207141003760595,Pain,Patient Study,,,,Randomised Controlled Trial,Pain Patient Study   
Strengthening the perception of the virtual worlds in a virtual reality environment,2020,ISA transactions,"Połap, Dawid; Kęsik, Karolina; Winnicka, Alicja; Woźniak, Marcin",https://doi.org/10.1016/j.isatra.2020.02.023,Biofeedback,Methods Development,,,,Experiment (proof-of-concept),Biofeedback Methods Development   
Virtual Reality as a Clinical Tool for Pain Management,2018,Current Pain and Headache Reports,"Pourmand, Ali; Davis, Steven; Marchak, Alex; Whiteside, Tess; Sikka, Neal",https://doi.org/10.1007/s11916-018-0708-2,Pain,,,,,Review,Pain    
Virtual reality and musculoskeletal pain: manipulating sensory cues to improve motor  performance during walking.,2014,"Cyberpsychology, behavior and social networking","Powell, Wendy; Simmonds, Maureen J.",https://doi.org/10.1089/cyber.2014.0061,Pain,Physical Therapy,Methods Development,,,Experiment,Pain Physical Therapy Methods Development  
Virtual reality improves embodiment and neuropathic pain caused by spinal cord  injury.,2017,Neurology,"Pozeg, Polona; Palluel, Estelle; Ronchi, Roberta; Solcà, Marco; Al-Khodairy, Abdul-Wahab; Jordan, Xavier; Kassouha, Ammar; Blanke, Olaf",https://doi.org/10.1212/WNL.0000000000004585,Pain,Patient Study,Physical Therapy,,,Experiment,Pain Patient Study Physical Therapy  
Ready Player: the use of virtual reality in paediatric asthma education,2019,Medical Education,"Real, Francis J.; Zackoff, Matthew; Beck, Andrew F.; Klein, Melissa D.",https://doi.org/10.1111/medu.13858,Asthma,Patient Study,Pediatric,Methods Development,,Experiment (proof-of-concept),Asthma Patient Study Pediatric Methods Development 
Enhancing the Ecological Validity of fMRI Memory Research Using Virtual Reality,2018,Frontiers in Neuroscience,"Reggente, Nicco; Essoe, Joey K.-Y.; Aghajan, Zahra M.; Tavakoli, Amir V.; McGuire, Joseph F.; Suthana, Nanthia A.; Rissman, Jesse",https://doi.org/10.3389/fnins.2018.00408,Memory,,Neuroscience,,,Review,Memory  Neuroscience  
"Effects of virtual walking on spinal cord injury-related neuropathic pain: A  randomized, controlled trial.",2019,Rehabilitation psychology,"Richardson, Elizabeth J.; McKinley, Emily C.; Rahman, A. K. M. Fazlur; Klebine, Phillip; Redden, David T.; Richards, J. Scott",https://doi.org/10.1037/rep0000246,Pain,Physical Therapy,,,,Randomised Controlled Trial,Pain Physical Therapy   
Virtual Reality Rehabilitation in Patients with Chronic Obstructive Pulmonary Disease: A Randomized Controlled Trial,2020,International Journal of Chronic Obstructive Pulmonary Disease,"Rutkowski, Sebastian; Rutkowska, Anna; Kiper, Paweł; Jastrzebski, Dariusz; Racheniuk, Henryk; Turolla, Andrea; Szczegielniak, Jan; Casaburi, Richard",https://doi.org/10.2147/COPD.S223592,COPD,Patient Study,,,,Experiment,COPD Patient Study   
Randomized clinical trial of immersive virtual reality tour of the operating theatre  in children before anaesthesia.,2017,The British journal of surgery,"Ryu, J.-H.; Park, S.-J.; Park, J.-W.; Kim, J.-W.; Yoo, H.-J.; Kim, T.-W.; Hong, J. S.; Han, S.-H.",https://doi.org/10.1002/bjs.10684,Pediatric,Anxiety/ Stress,Patient Study,,,Randomised Clinical Trial,Pediatric Anxiety/ Stress Patient Study  
The effect of an immersive virtual reality tour of the operating theater on  emergence delirium in children undergoing general anesthesia: A randomized  controlled trial.,2019,Paediatric anaesthesia,"Ryu, Jung-Hee; Oh, Ah-Young; Yoo, Hee-Jeong; Kim, Jin-Hee; Park, Jin-Woo; Han, Sung-Hee",https://doi.org/10.1111/pan.13535,Pediatric,Anxiety/ Stress,Patient Study,,,Randomised Controlled Trial,Pediatric Anxiety/ Stress Patient Study  
Effects of distraction using virtual reality glasses during lumbar punctures in  adolescents with cancer.,2002,Oncology nursing forum,"Sander Wint, Suzanne; Eshelman, Debra; Steele, Jill; Guzzetta, Cathie E.",https://doi.org/10.1188/02.ONF.E8-E15,Pediatric,Cancer,Pain,,,Experiment (proof-of-concept),Pediatric Cancer Pain  
Virtual Reality in the treatment of burn patients: A systematic review,2018,Burns: Journal of the International Society for Burn Injuries,"Scapin, Soliane; Echevarría-Guanilo, Maria Elena; Boeira Fuculo Junior, Paulo Roberto; Gonçalves, Natália; Rocha, Patrícia Kuerten; Coimbra, Rebeca",https://doi.org/10.1016/j.burns.2017.11.002,Patient Study,Pain,Anxiety/ Stress,,,Systematic Review,Patient Study Pain Anxiety/ Stress  
"A randomized, controlled trial of immersive virtual reality analgesia, during  physical therapy for pediatric burns.",2011,Burns : journal of the International Society for Burn Injuries,"Schmitt, Yuko S.; Hoffman, Hunter G.; Blough, David K.; Patterson, David R.; Jensen, Mark P.; Soltani, Maryam; Carrougher, Gretchen J.; Nakamura, Dana; Sharar, Sam R.",https://doi.org/10.1016/j.burns.2010.07.007,Pain,Burn Injuries,Patient Study,Pediatric,Anxiety/ Stress,Randomised Controlled Trial,Pain Burn Injuries Patient Study Pediatric Anxiety/ Stress
Virtual reality as a distraction intervention for older children receiving  chemotherapy.,2000,Pediatric nursing,"Schneider, S. M.; Workman, M. L.",https://pubmed.ncbi.nlm.nih.gov/12026359/,Cancer,Pediatric,Pain,Anxiety/ Stress,,Experiment (proof-of-concept),Cancer Pediatric Pain Anxiety/ Stress 
Virtual reality intervention for older women with breast cancer.,2003,"Cyberpsychology & behavior : the impact of the Internet, multimedia and virtual  reality on behavior and society","Schneider, Susan M.; Ellis, Mathew; Coombs, William T.; Shonkwiler, Erin L.; Folsom, Linda C.",https://doi.org/10.1089/109493103322011605,Cancer,Ageing,Anxiety/ Stress,Patient Study,,Experiment,Cancer Ageing Anxiety/ Stress Patient Study 
Virtual reality: a distraction intervention for chemotherapy.,2007,Oncology nursing forum,"Schneider, Susan M.; Hood, Linda E.",https://doi.org/10.1188/07.ONF.39-46,Cancer,Anxiety/ Stress,Patient Study,,,Experiment,Cancer Anxiety/ Stress Patient Study  
Effect of virtual reality on time perception in patients receiving chemotherapy.,2011,Supportive care in cancer : official journal of the Multinational Association of  Supportive Care in Cancer,"Schneider, Susan M.; Kisby, Cassandra K.; Flint, Elizabeth P.",https://doi.org/10.1007/s00520-010-0852-7,Cancer,Anxiety/ Stress,Methods Development,,,Experiment,Cancer Anxiety/ Stress Methods Development  
Virtual reality as a distraction intervention for women receiving chemotherapy,2004,Oncology Nursing Forum,"Schneider, Susan M.; Prince-Paul, Maryjo; Allen, Mary Jo; Silverman, Paula; Talaba, Deborah",https://doi.org/10.1188/04.ONF.81-88,Patient Study,Cancer,Anxiety/ Stress,,,Experiment,Patient Study Cancer Anxiety/ Stress  
Factors influencing the efficacy of virtual reality distraction analgesia during  postburn physical therapy: preliminary results from 3 ongoing studies.,2007,Archives of physical medicine and rehabilitation,"Sharar, Sam R.; Carrougher, Gretchen J.; Nakamura, Dana; Hoffman, Hunter G.; Blough, David K.; Patterson, David R.",https://doi.org/10.1016/j.apmr.2007.09.004,Pain,Patient Study,Burn Injuries,,,Experiment (proof-of-concept),Pain Patient Study Burn Injuries  
Effect of Virtual Reality Distraction on Pain and Anxiety During Dental Treatment in  5 to 8 Year Old Children.,2019,The Journal of clinical pediatric dentistry,"Shetty, Vabitha; Suresh, Lekshmi R.; Hegde, Amitha M.",https://doi.org/10.17796/1053-4625-43.2.5,Pain,Anxiety/ Stress,Dentistry,Pediatric,,Experiment,Pain Anxiety/ Stress Dentistry Pediatric 
A virtual reality system combined with biofeedback for treating pediatric chronic  headache--a pilot study.,2013,"Pain medicine (Malden, Mass.)","Shiri, Shimon; Feintuch, Uri; Weiss, Nilly; Pustilnik, Alex; Geffen, Tal; Kay, Barrie; Meiner, Zeev; Berger, Itai",https://doi.org/10.1111/pme.12083,Biofeedback,Pediatric,Pain,,,Experiment (proof-of-concept),Biofeedback Pediatric Pain  
Virtual reality and anxiety in primiparous women during episiotomy repair,2016,Iranian Journal of Nursing and Midwifery Research,"Shourab, Nahid Jahani; Zagami, Samira Ebrahimzadeh; Golmakhani, Nahid; Mazlom, Seyed Reza; Nahvi, Ali; Pabarja, Ferial; Talebi, Mahdi; Rizi, Sohaiela Mohamadi",https://doi.org/10.4103/1735-9066.193417,Anxiety/ Stress,Maternity,Patient Study,,,Randomised Clinical Trial,Anxiety/ Stress Maternity Patient Study  
The effects of coping style on virtual reality enhanced videogame distraction in  children undergoing cold pressor pain.,2014,Journal of behavioral medicine,"Sil, Soumitri; Dahlquist, Lynnda M.; Thompson, Caitlin; Hahn, Amy; Herbert, Linda; Wohlheiter, Karen; Horn, Susan",https://doi.org/10.1007/s10865-012-9479-0,Pediatric,Pain,Methods Development,,,Experiment,Pediatric Pain Methods Development  
Virtual restorative environment therapy as an adjunct to pain control during burn  dressing changes: study protocol for a randomised controlled trial.,2015,Trials,"Small, Charlotte; Stone, Robert; Pilsbury, Jane; Bowden, Michael; Bion, Julian",https://doi.org/10.1186/s13063-015-0878-8,Pain,Burn Injuries,Methods Development,Patient Study,,Experiment (proof-of-concept),Pain Burn Injuries Methods Development Patient Study 
Heartbeat-enhanced immersive virtual reality to treat complex regional pain syndrome,2018,Neurology,"Solcà, Marco; Ronchi, Roberta; Bello-Ruiz, Javier; Schmidlin, Thomas; Herbelin, Bruno; Luthi, François; Konzelmann, Michel; Beaulieu, Jean-Yves; Delaquaize, François; Schnider, Armin; Guggisberg, Adrian G.; Serino, Andrea; Blanke, Olaf",https://doi.org/10.1212/WNL.0000000000005905,Pain,Biofeedback,Patient Study,,,Experiment,Pain Biofeedback Patient Study  
Virtual reality analgesia for burn joint flexibility: A randomized controlled trial.,2018,Rehabilitation psychology,"Soltani, Maryam; Drever, Sydney A.; Hoffman, Hunter G.; Sharar, Sam R.; Wiechman, Shelley A.; Jensen, Mark P.; Patterson, David R.",https://doi.org/10.1037/rep0000239,Pain,Burn Injuries,Physical Therapy,Patient Study,,Randomised Controlled Trial,Pain Burn Injuries Physical Therapy Patient Study 
Virtual reality for management of pain in hospitalized patients: A randomized comparative effectiveness trial,2019,PLOS ONE,"Spiegel, Brennan; Fuller, Garth; Lopez, Mayra; Dupuy, Taylor; Noah, Benjamin; Howard, Amber; Albert, Michael; Tashjian, Vartan; Lam, Richard; Ahn, Joseph; Dailey, Francis; Rosen, Bradley T.; Vrahas, Mark; Little, Milton; Garlich, John; Dzubur, Eldin; IsHak, Waguih; Danovitch, Itai",https://doi.org/10.1371/journal.pone.0219115,Pain,Patient Study,,,,Randomised Controlled Trial,Pain Patient Study   
Virtual reality as a pediatric pain modulation technique: a case study.,2003,"Cyberpsychology & behavior : the impact of the Internet, multimedia and virtual  reality on behavior and society","Steele, Emily; Grimmer, Karen; Thomas, Bruce; Mulley, Barrie; Fulton, Ian; Hoffman, Hunter",https://doi.org/10.1089/109493103322725405,Pediatric,Pain,Patient Study,,,Experiment (proof-of-concept),Pediatric Pain Patient Study  
"Rationale, design and methods for a randomised and controlled trial of the impact of  virtual reality games on motor competence, physical activity, and mental health in  children with developmental coordination disorder.",2011,BMC public health,"Straker, Leon M.; Campbell, Amity C.; Jensen, Lyn M.; Metcalf, Deborah R.; Smith, Anne J.; Abbott, Rebecca A.; Pollock, Clare M.; Piek, Jan P.",https://doi.org/10.1186/1471-2458-11-654,Pediatric,Physical Therapy,Anxiety/ Stress,,,Experiment (proof-of-concept),Pediatric Physical Therapy Anxiety/ Stress  
Virtual reality among the elderly: a usefulness and acceptance study from Taiwan,2019,BMC Geriatrics,"Syed-Abdul, Shabbir; Malwade, Shwetambara; Nursetyo, Aldilas Achmad; Sood, Mishika; Bhatia, Madhu; Barsasella, Diana; Liu, Megan F.; Chang, Chia-Chi; Srinivasan, Kathiravan; M., Raja; Li, Yu-Chuan Jack",https://doi.org/10.1186/s12877-019-1218-8,Ageing,Anxiety/ Stress,Methods Development,,,Randomised Controlled Trial,Ageing Anxiety/ Stress Methods Development  
Virtual reality and chronic low back pain,2019,Disability and Rehabilitation. Assistive Technology,"Tack, Christopher",https://doi.org/10.1080/17483107.2019.1688399,Pain,,,,,Review,Pain    
Feasibility and Safety of a Virtual Reality Dodgeball Intervention for Chronic Low  Back Pain: A Randomized Clinical Trial.,2016,The journal of pain : official journal of the American Pain Society,"Thomas, James S.; France, Christopher R.; Applegate, Megan E.; Leitkam, Samuel T.; Walkowski, Stevan",https://doi.org/10.1016/j.jpain.2016.08.011,Pain,Physical Therapy,Anxiety/ Stress,,,Experiment (proof-of-concept),Pain Physical Therapy Anxiety/ Stress  
Usability Comparisons of Head-Mounted vs. Stereoscopic Desktop Displays in a Virtual  Reality Environment with Pain Patients.,2016,Studies in health technology and informatics,"Tong, Xin; Gromala, Diane; Gupta, Dimple; Squire, Pam",https://pubmed.ncbi.nlm.nih.gov/27046617/,Pain,Methods Development,Patient Study,,,Experiment,Pain Methods Development Patient Study  
"Virtual reality interventions for balance prevention and rehabilitation after musculoskeletal lower limb impairments in young up to middle-aged adults: A comprehensive review on used technology, balance outcome measures and observed effects",2019,International Journal of Medical Informatics,"Vogt, Sarah; Skjæret-Maroni, Nina; Neuhaus, Dorothee; Baumeister, Jochen",https://doi.org/10.1016/j.ijmedinf.2019.03.009,Vestibular,Physical Therapy,,,,Systematic Review,Vestibular Physical Therapy   
Immersive Virtual Reality for Pediatric Procedural Pain: A Randomized Clinical  Trial.,2019,Hospital pediatrics,"Walther-Larsen, Søren; Petersen, Trine; Friis, Susanne M.; Aagaard, Gitte; Drivenes, Bergitte; Opstrup, Pernille",https://doi.org/10.1542/hpeds.2018-0249,Pediatric,Pain,,,,Randomised Clinical Trial,Pediatric Pain   
Immersive Virtual Reality for Pediatric Pain,2017,"Children (Basel, Switzerland)","Won, Andrea Stevenson; Bailey, Jakki; Bailenson, Jeremy; Tataru, Christine; Yoon, Isabel A.; Golianu, Brenda",https://doi.org/10.3390/children4070052,Pain,Pediatric,,,,Review,Pain Pediatric   
 Virtual Reality reduces pain in laboring women: a randomized controlled trial,2020,American Journal of Obstetrics & Gynecology,"Wong, Melissa S.; Spiegel, Brennan M.; Gregory, Kimberly D.",https://doi.org/10.1016/j.ajog.2019.11.055,Maternity,Pain,,,,Randomised Controlled Trial,Maternity Pain   
Evaluation of leap motion control for hand rehabilitation in burn patients: An  experience in the dust explosion disaster in Formosa Fun Coast.,2019,Burns : journal of the International Society for Burn Injuries,"Wu, Yah-Ting; Chen, Kuo-Hu; Ban, Shiun-Lei; Tung, Kwang-Yi; Chen, Li-Ru",https://doi.org/10.1016/j.burns.2018.08.001,Pain,Burn Injuries,Physical Therapy,,,Experiment,Pain Burn Injuries Physical Therapy  
Effects of Preoperative Virtual Reality Magnetic Resonance Imaging on Preoperative  Anxiety in Patients Undergoing Arthroscopic Knee Surgery: A Randomized Controlled  Study.,2019,Arthroscopy : the journal of arthroscopic & related surgery : official publication  of the Arthroscopy Association of North America and the International Arthroscopy  Association,"Yang, Jae-Hyuk; Ryu, Jae Joon; Nam, Eunwoo; Lee, Hee-Suk; Lee, Jin Kyu",https://doi.org/10.1016/j.arthro.2019.02.037,Anxiety/ Stress,Patient Study,Pain,,,Experiment,Anxiety/ Stress Patient Study Pain  
360° virtual reality video for the acquisition of knot tying skills: A randomised controlled trial,2018,"International Journal of Surgery (London, England)","Yoganathan, S.; Finch, D. A.; Parkin, E.; Pollard, J.",https://doi.org/10.1016/j.ijsu.2018.04.002,Learning/ Training,,,,,Experiment,Learning/ Training    
